unique_id,ds,y
1,2026-01-09 18:00:00,944
1,2026-01-09 18:00:00,115
1,2026-01-09 18:00:00,117
1,2026-01-09 18:00:00,302
1,2026-01-09 18:00:00,468363
1,2026-01-09 18:00:00,309
1,2026-01-09 18:00:00,3682
1,2026-01-09 18:00:00,51198
1,2026-01-09 18:00:00,1466
1,2026-01-09 18:00:00,1442
1,2026-01-09 18:00:00,17273
1,2026-01-09 18:00:00,17515
1,2026-01-09 18:00:00,2598
1,2026-01-09 18:00:00,2470
1,2026-01-09 18:00:00,282
1,2026-01-09 18:00:00,295
1,2026-01-09 18:00:00,37458
1,2026-01-09 18:00:00,31226
1,2026-01-09 18:00:00,11032
1,2026-01-09 18:00:00,14005
1,2026-01-09 18:00:00,24826
1,2026-01-09 18:00:00,51613
1,2026-01-09 18:00:00,13590
1,2026-01-09 18:00:00,3285
1,2026-01-09 18:00:00,3789
1,2026-01-09 18:00:00,3816
1,2026-01-09 18:00:00,1949
1,2026-01-09 18:00:00,1632
1,2026-01-09 18:00:00,5575
1,2026-01-09 18:00:00,5316
1,2026-01-09 18:00:00,3652
1,2026-01-09 18:00:00,1209
1,2026-01-09 18:00:00,1407
1,2026-01-09 18:00:00,2761
1,2026-01-09 18:00:00,1431
1,2026-01-09 18:00:00,24806
1,2026-01-09 18:00:00,24826
1,2026-01-09 18:00:00,241
1,2026-01-09 18:00:00,97452
1,2026-01-09 18:00:00,91497
1,2026-01-09 18:00:00,17970
1,2026-01-09 18:00:00,3180
1,2026-01-09 18:00:00,3159
1,2026-01-09 18:00:00,3148
1,2026-01-09 18:00:00,6851
1,2026-01-09 18:00:00,6931
1,2026-01-09 18:00:00,24806
1,2026-01-09 18:00:00,17979
1,2026-01-09 18:00:00,17970
1,2026-01-09 18:00:00,17979
1,2026-01-09 18:00:00,1549
1,2026-01-09 18:00:00,1557
1,2026-01-09 18:00:00,45300
1,2026-01-09 18:00:00,49474
1,2026-01-09 18:00:00,202
1,2026-01-09 18:00:00,2761
1,2026-01-09 18:00:00,4181
1,2026-01-09 18:00:00,13647
1,2026-01-09 18:00:00,2330
1,2026-01-09 18:00:00,28629
1,2026-01-09 18:00:00,76255
1,2026-01-09 18:00:00,79695
1,2026-01-09 18:00:00,82320
1,2026-01-09 18:00:00,91497
1,2026-01-09 18:00:00,97452
1,2026-01-09 18:00:00,3867
1,2026-01-09 18:00:00,2671
1,2026-01-09 18:00:00,1532
